hash,blockNumber,timeStamp,from,to,value_LPT
0xc36921d41b95929e9ef8a6ab9d2486ae088c1c463e76b2cf30abf75b3f7f4212,17441569,1686300239,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,412645.557
0x97373dbdfa7ee248a6c4cb8964bcb3c71859a820cbab5b2044888376f0c71641,17450544,1686409487,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,10742.326000000001
0xfa23b3954e35106f973e97c762d9b2df2aef8fc5ef91410c187b28b2dd4109be,17457651,1686495983,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,99000.0
0x5f153867723005cdfcdd14c251571580b613f74e59bfa2054731528076a06ffd,17462379,1686553475,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,29985.492000000002
0x4c1cc5422d5db077c153395c595ef3904b4036eeac0a5b148142d729a4884a8a,17462379,1686553475,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,29824.960000000003
0x343b2e50abb9f914c7d916035090e77d250ed6666a5c4857721ce41da38bf328,17462379,1686553475,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,68969.91
0x9d241c115563da7ebae4cdfd925cfcc1da34983609f4c071cfabc4698b3709a4,17469731,1686643031,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,58780.362
0x1c2c8d0c1d55f4f6bbab9edeef888b25be5b345dc3d6b7a93e885e256622afc8,17537672,1687467371,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,87758.345
0x9f08739056a0d5803465a17a3324c9da72e6be9755d88caf6fe2a83eb0d17177,17576796,1687942943,0xf977814e90da44bfa03b6295a0616a897441acec,0x5a52e96bacdabb82fd05763e25335261b270efcb,1057758.345
0xa615af5d8874e5ca5c31162bf2c287bb63e214415a64765f61c5405a87d9bf8a,17732093,1689828455,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,199999.99999999997
0x9232f3fe754ae1482d8028c659a05650a3ea4c3ce3a5ce211203035cd83ceb11,17762435,1690195331,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,16361.116
0x6b9f6833f6c68ab441dba0b4e1ca465f99386b63e6de2cae224a4aee2b9abb4a,17762435,1690195331,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,84400.097
